TCGA-21-5787-01,TCGA-34-2596-01,TCGA-34-5231-01,TCGA-37-4141-01,TCGA-39-5031-01,TCGA-43-A475-01,TCGA-63-5128-01,TCGA-68-A59J-01,TCGA-77-A5G3-01,TCGA-90-A4ED-01,TCGA-98-A53B-01
-2.1845,-2.1845,-2.1845,-0.707,-2.1845,-0.4396,-2.1845,-2.1845,-0.3967,-2.1845,-2.1845
-3.5574,-3.5574,-3.5574,-3.5574,-3.5574,-3.5574,-3.5574,-3.5574,-3.5574,-3.5574,-3.5574
-3.6203,-3.6203,-3.6203,-3.6203,-3.6203,-0.2188,-3.6203,-0.3669,-3.6203,-3.6203,-3.6203
-0.7067,-1.8735,-1.8735,-0.7737,-1.8735,-1.8735,-1.8735,-0.6312,-1.8735,-1.8735,-0.4906
0.7414,-0.8033,-0.7253,1.0222,1.1651,-1.1164,-1.4231,3.5358,0.4931,-2.4798,-0.7606
-3.3453,-3.3453,-3.3453,-3.3453,-3.3453,-3.3453,-3.3453,-3.3453,-3.3453,-3.3453,-3.3453
-2.0439,-2.0439,-2.0439,0.9823,-2.0439,-0.825,-2.0439,-0.0043,-0.7951,-0.4448,0.1997
-2.7293,-2.7293,-2.7293,-2.7293,-2.7293,-2.7293,-2.7293,-0.4538,1.5031,-2.7293,-0.1963
-1.7152,-1.7152,0.8491,-0.0277,-1.7152,-1.7152,-1.7152,-1.7152,0.9572,0.7703,-1.7152
-0.9011,1.286,2.2041,0.3405,1.0982,-1.2201,2.8777,1.3894,1.1648,0.2212,-0.643
-1.778,1.6341,-1.778,-0.9115,-1.778,-1.778,0.4058,-0.7993,-0.7296,2.2234,3.8814
-0.7038,-2.0743,-1.1244,-2.0743,-2.0743,0.5818,1.1812,-2.0743,-2.0743,-2.0743,-0.45
-2.1649,0.846,-0.7266,2.2689,3.006,0.3447,0.4968,-0.5665,0.0637,1.1419,-0.554
-1.1109,-0.4701,-0.4747,-1.963,-0.402,0.711,0.6966,-1.963,-0.2756,1.7461,-1.963
-1.0084,-0.8661,0.6386,-1.6356,-1.5268,0.8295,-1.8213,1.9605,1.0246,2.1319,0.7622
-0.2036,0.9661,1.6421,0.6953,0.1518,-1.4097,1.6799,-0.6659,1.5393,-1.0488,2.762
-2.0832,-0.5612,-1.022,-2.0832,-2.0832,-2.0832,-2.0832,-2.0832,-2.0832,-2.0832,-2.0832
-1.6157,-1.6157,2.5139,-1.6157,-0.9865,-0.9455,0.2635,2.6017,-0.0229,-0.7364,-1.6157
0.2544,-1.9733,0.1589,1.1967,-1.6458,-0.0503,1.1036,2.0414,0.2905,3.7579,1.115
0.8996,-0.4771,0.1013,0.3466,-0.0984,1.1242,-0.5154,4.5443,0.4255,1.1217,-0.7347
-1.2137,0.405,0.5391,-0.9377,4.0804,-1.3923,-0.2105,-0.8633,0.3332,-0.5,1.1191
-0.9211,-0.0451,-0.7276,2.6219,-1.1817,-0.83,-1.5932,4.9454,0.4122,0.1759,-0.5186
-2.0812,-0.7515,1.9994,-1.3659,0.5326,0.9617,-1.0167,-0.7716,-0.5783,0.8308,2.5911
-1.6491,-1.6491,-1.6491,-1.6491,-1.6491,-0.3018,-1.6491,0.6054,-1.6491,1.329,1.6539
-1.4172,-0.2548,3.5483,1.7991,-0.2716,-0.8029,0.1268,0.4484,0.0357,-1.2493,1.3987
-1.0082,-1.9156,0.6901,-1.9156,-1.9156,-0.9055,0.24,-1.9156,-1.9156,1.0082,1.0695
0.0046,-0.7841,1.672,0.5376,0.1365,-0.7767,-3.1309,-1.1065,-1.5172,-0.7617,-1.4978
-2.3521,0.518,-0.6236,0.4957,-0.0979,0.3408,-2.1244,2.9123,-0.1654,0.7461,0.3685
1.2481,-2.4997,-3.0364,1.5804,0.4545,0.2515,0.1206,-0.5048,-0.0582,-0.4012,0.1105
1.0736,-1.8104,-0.4969,1.6153,-1.8104,0.2295,-0.7173,-0.3487,0.6476,2.6583,-0.2577
-1.932,-1.932,-1.1605,-0.8828,-1.932,2.0836,0.7123,0.1414,0.2723,-1.932,-0.6127
-2.3491,-0.7511,-0.3188,-2.3491,0.5958,1.8205,-0.0943,0.6451,-2.3491,-2.3491,-0.4439
-1.63,-1.63,-1.63,-1.63,1.402,2.7998,-1.63,-0.5508,-1.63,0.8641,-1.63
-0.2379,1.4515,3.8897,-0.9171,2.3645,0.8164,0.1828,0.7015,0.3644,0.9909,-0.8221
-1.671,1.4078,-2.1089,1.0576,3.36,0.7652,-0.3483,0.2882,0.3789,1.9835,0.5873
3.9409,0.2377,-0.788,0.609,-1.9637,0.9575,-1.9637,0.3648,-0.1202,-0.6042,-1.9637
-2.3029,0.3534,-0.388,1.1286,-2.3029,-2.3029,-2.3029,-0.6887,-2.3029,-0.0888,-0.506
-0.9367,-0.8731,-0.187,0.1647,0.1267,-2.504,3.4918,0.7875,-0.813,-0.6142,-0.9356
-1.6774,-0.2567,-1.6774,-1.6774,-1.6774,-0.1059,1.7561,-0.8141,-1.6774,0.9351,-1.6774
-1.1783,-1.1783,-1.1783,-0.7765,-0.7329,-1.1783,-1.1783,-1.1783,-1.1783,-1.1783,-0.6731
-1.5478,-1.5478,-1.5478,-0.2046,-1.5478,-1.5478,-1.5478,-0.4424,0.6277,1.9234,1.688
-0.0041,1.5361,-1.5144,1.1613,1.2676,2.9819,-0.0712,-0.6248,-0.8079,2.5911,0.4994
-1.8899,0.0112,1.4918,-1.3505,-0.1783,-1.2529,-1.8899,-0.4586,-1.8899,-1.8899,-1.8899
0.5026,1.1642,-0.8676,-0.4351,1.0655,1.5471,-2.4644,0.8537,-1.6614,2.9679,-0.2535
-0.4468,-0.0113,0.9504,-2.8431,1.9357,-2.954,0.1539,-0.5637,1.3991,0.5487,1.4178
2.0676,-0.8431,-0.8974,-2.0537,-0.7987,-1.6481,1.8379,1.0315,0.0653,-0.6555,0.7325
0.604,-1.1722,1.0752,-0.3007,-1.4273,-1.8179,0.1243,-1.0678,-1.9754,3.3129,1.677
-0.6599,-0.9233,-2.0049,0.8698,-2.0049,-2.0049,-0.8694,-2.0049,0.526,0.2046,0.1469
0.5655,-2.2393,-1.5504,-0.1035,0.3066,-1.8859,-0.4763,0.8215,1.3841,-2.5879,1.4085
