Entrez_Gene_Id,TCGA-D3-A1Q5-06,TCGA-D3-A1Q6-06,TCGA-D3-A1Q7-06,TCGA-D3-A1Q9-06,TCGA-D3-A1QA-06,TCGA-D3-A2JN-06,TCGA-D3-A2JP-06,TCGA-D3-A3CB-06,TCGA-D3-A3CE-06,TCGA-D3-A3MR-06,TCGA-D3-A51T-06,TCGA-D3-A8GB-06,TCGA-D3-A8GM-06,TCGA-D9-A148-06,TCGA-DA-A1HW-06,TCGA-DA-A1I4-06,TCGA-DA-A1IB-06,TCGA-DA-A3F5-06,TCGA-EE-A20F-06,TCGA-EE-A29C-06,TCGA-EE-A29H-06,TCGA-EE-A29T-06,TCGA-EE-A29W-06,TCGA-EE-A2GS-06,TCGA-EE-A2M5-06,TCGA-EE-A2M8-06,TCGA-EE-A2MP-06,TCGA-EE-A3AB-06,TCGA-EE-A3AD-06,TCGA-EE-A3AF-06,TCGA-EE-A3AG-06,TCGA-ER-A198-06,TCGA-ER-A19E-06,TCGA-ER-A19G-06,TCGA-ER-A19H-06,TCGA-ER-A19J-06,TCGA-ER-A19M-06,TCGA-ER-A19O-06,TCGA-ER-A19Q-06,TCGA-ER-A2NG-06,TCGA-FR-A44A-06,TCGA-FR-A729-06,TCGA-FW-A3TV-06,TCGA-GF-A4EO-06,TCGA-GF-A6C9-06,TCGA-GN-A26A-06,TCGA-GN-A4U7-06,TCGA-GN-A4U8-06,TCGA-GN-A9SD-06,TCGA-W3-AA1O-06,TCGA-W3-AA1Q-06,TCGA-WE-A8K5-06,TCGA-WE-A8K6-06,TCGA-WE-A8ZQ-06,TCGA-WE-AAA4-06,TCGA-YG-AA3O-06
26574.0,-0.6909,-0.4712,-0.607,-0.7107,1.1024,-0.7637,1.5473,-0.9034,0.3478,0.2981,1.1636,-0.0173,0.6758,1.974,-1.2492,0.2281,-0.98,0.1025,1.247,-0.4302,-1.9331,0.2318,-0.8356,0.348,-0.0396,-0.0635,-0.1851,0.6856,-0.248,1.0108,-0.3984,0.077,-0.4858,-0.5016,-0.2114,-0.6348,-0.6321,-0.5919,-0.1627,-1.7657,-0.573,-1.1081,-0.3241,-0.7741,0.1949,-0.2112,1.4572,0.1013,0.4218,0.9975,0.1935,0.1509,-0.1952,0.3056,2.054,-0.117
18.0,1.147,-0.9268,0.5057,-1.8607,-0.3337,0.9042,-0.6031,1.1089,-0.3687,-0.5807,-0.9321,0.7511,-1.1257,-0.7066,-0.0702,-0.6988,1.121,-0.3897,-0.1118,-0.565,-1.411,0.4526,1.184,-1.3814,-1.5471,0.696,1.4733,-0.4968,0.5042,-0.8099,-2.143,-1.089,-1.1092,-0.9608,-0.6105,-0.9653,0.8032,0.084,-0.2895,-0.1034,0.8076,1.1123,0.5528,0.3062,0.2145,-1.1088,-1.3033,-0.7537,0.0219,-1.5893,1.39,-0.9575,-0.5045,0.6228,-0.2648,0.0084
10349.0,3.901,-0.1935,-0.0948,-0.3543,-1.0724,2.5224,0.8666,0.3379,0.4164,0.4882,0.0422,1.2393,-0.0581,-1.3594,-1.3577,-0.3701,0.7063,1.4714,-1.0175,-1.0111,-1.0041,0.7104,3.4289,-0.5594,-1.7523,0.2559,0.9495,2.4722,-0.4414,-1.52,-1.1535,0.0509,0.2302,-0.1655,1.4066,-0.3354,-1.3662,-1.6404,-1.7752,-1.4716,0.0661,0.354,-0.7163,0.0704,-0.1168,-0.5811,0.0104,0.7849,0.2972,-0.05,0.2776,1.1644,-0.0611,0.6869,-1.6322,0.1939
79963.0,0.8464,0.5591,0.8288,-1.4483,-0.7438,-1.3829,-1.2097,-0.1588,1.0983,-0.3256,0.1283,-0.2814,-0.4641,-0.7044,-0.2025,-0.4644,0.539,-1.0508,-1.9723,-1.5489,-1.545,0.2902,0.6132,-0.278,-0.0871,-0.393,-1.0751,-0.6586,0.697,-0.2856,0.1792,0.2807,0.6529,0.3591,0.5801,0.107,0.1349,-2.6733,-0.1725,-1.3009,0.2928,0.8603,-0.3705,0.1726,-0.1758,-0.7126,-0.3267,-0.0234,0.2238,0.1807,-0.4675,0.673,-0.3609,1.529,-0.758,0.4293
650655.0,-0.508,-0.666,-0.7492,-0.7458,1.0001,-0.9249,0.383,-0.0947,-1.4854,-0.7922,-0.81,-0.2569,-1.8247,0.5317,0.4485,-0.0337,-0.2853,-0.0869,-0.2962,-0.4165,-1.7203,-0.2924,-0.51,0.1216,-0.5728,-0.8702,0.5725,0.6571,1.4926,0.3164,1.0254,-0.1887,-0.4341,1.6559,-1.7654,0.1561,-0.9399,-1.8987,-1.2757,-0.2995,0.101,0.6215,-0.4561,-0.1905,0.3093,1.1473,-0.3821,0.7892,1.7942,-0.558,1.0653,-0.6274,0.4218,1.9026,0.4122,-0.4135
24.0,2.4888,-1.1076,0.399,-0.6966,0.7982,3.2515,-0.9542,-1.1419,-0.2129,-0.2625,0.4072,-0.0256,-0.4579,1.5548,2.2436,-0.5243,0.223,-0.3629,-0.2537,-0.7819,-0.8756,-0.3042,0.8527,-0.0946,-1.1783,-0.9457,-0.1917,0.0577,0.841,-0.9364,0.5122,0.47,3.0669,-0.3179,-0.1149,-0.9642,-0.7761,1.387,-0.8552,-1.2171,-0.7219,-0.3351,-0.213,-1.4445,-0.2765,-0.0427,1.0598,-0.3534,0.3505,-0.657,-1.4445,-0.6104,-0.6976,0.8879,0.1453,-0.459
23460.0,2.2386,0.9595,0.5292,-0.5689,-0.6793,1.1662,2.0804,1.3213,1.435,0.9631,-0.7621,1.2907,-0.9298,-0.52,-0.2648,-0.0237,0.386,1.1483,-0.3631,-0.202,-0.2769,1.8289,1.9025,0.137,-1.1583,0.7934,0.8925,1.7638,-1.0175,-1.114,1.1619,-0.2159,0.551,0.3926,1.9384,0.0751,-0.271,-0.8313,-0.0968,-0.4907,0.2349,0.8192,-0.2245,1.4849,1.2207,1.1005,-1.4843,-0.3596,0.3217,-0.4982,0.7919,0.2249,2.1683,0.6015,-1.2927,0.273
10347.0,-1.2104,-0.2048,0.9172,-0.4512,-0.1563,-0.4384,0.5193,0.5114,-0.5975,1.2814,0.0853,0.6022,0.7665,-0.2376,-0.0277,0.2127,1.4428,-0.6526,-1.595,-1.2333,-0.3476,-1.1255,-0.8381,-0.9955,-2.2982,0.8293,0.6256,-0.316,-1.1954,0.3387,-0.4366,0.6078,0.158,0.3043,-1.1269,-0.1769,-2.5354,1.2863,0.2538,-0.7653,0.3618,0.6464,-1.3593,1.2533,0.556,-1.1868,0.2154,0.2391,-0.2044,-0.3498,0.1154,-0.1804,-0.0084,-0.1385,1.3592,0.6386
10350.0,1.3468,-0.8299,0.5131,-0.4881,-0.6932,0.8438,1.2963,0.5678,1.6595,0.1165,-0.9032,1.1838,-0.6932,-1.0787,-0.6113,-0.5452,-0.0639,-0.9458,-0.2036,0.1611,-0.9679,0.0679,1.8676,0.1089,-1.7924,1.1411,0.0544,2.0479,0.0689,-1.2426,-0.8086,-0.5494,0.551,0.1626,1.5621,0.5577,-0.8506,-0.4855,-0.5427,-1.5261,0.3017,1.4538,-0.6775,0.8864,0.8034,-0.1586,-0.774,-0.3438,0.7842,-0.5158,0.1752,1.7366,0.5925,0.6453,-1.2037,0.3563
5244.0,0.9797,-0.5332,0.7531,-1.4623,-1.4186,-0.7644,0.4256,-0.7483,-1.2441,-0.6601,0.433,1.4939,0.1059,0.8403,-0.8185,1.1094,0.3582,-0.2979,0.3275,-0.696,-1.1812,1.0526,1.3891,-1.7417,-2.4604,-0.421,0.8643,2.0808,0.7056,-0.9328,0.4973,-0.1423,0.0516,-0.0839,-1.4342,-1.2151,1.5176,-0.3705,0.7475,-0.527,-0.6331,-0.4727,1.3548,-0.0968,0.1053,-0.3264,0.4732,-0.6527,-0.0584,-1.9564,-1.8218,-0.2919,0.0804,0.5309,0.38,0.2622
340273.0,-1.9653,-1.9937,0.8395,1.3393,0.801,-2.1407,-1.5736,-1.7666,0.0974,-0.1333,0.9386,-1.0219,1.0721,1.079,0.8898,0.454,0.8758,-1.0182,1.1418,0.6517,0.8485,-0.6232,-1.3788,0.2311,-2.1407,0.6984,-2.0362,-1.7616,1.4105,0.8735,-1.0462,-0.8237,-0.1056,0.7388,-0.6523,-0.7082,0.3081,-1.7678,-0.1822,0.0837,-1.4245,0.3762,0.6265,0.4621,-1.4178,-1.8797,0.4497,-0.9498,-0.0828,0.2925,1.2841,0.88,0.5188,-0.9015,0.4005,1.1256
