Entrez_Gene_Id,Entrez_Gene_Id,Entrez_Gene_Id,TCGA-AA-3664-01,TCGA-AA-3715-01,TCGA-AA-A01P-01,TCGA-AA-A022-01,TCGA-AA-A02R-01
5825,5825,5825,1.3756,-0.9097,-0.609,-1.3152,-1.5551
5826,5826,5826,-0.1607,-0.0137,1.0037,0.7089,0.3735
6059,6059,6059,1.1461,-1.662,-0.3141,-1.6513,0.3685
23,23,23,-1.0767,-0.0621,-0.822,0.5852,-1.3776
10061,10061,10061,-2.4717,-0.33,-0.1182,-0.8089,0.129
55324,55324,55324,-0.6656,0.3088,1.0595,1.5204,0.6292
9619,9619,9619,-1.4064,1.2659,1.839,-0.4704,-0.0667
9429,9429,9429,1.9994,-0.421,-1.1732,2.0851,-0.5163
64137,64137,64137,0.3542,1.5428,1.0111,-0.1514,-0.0452
64240,64240,64240,1.4616,-0.8211,0.5429,2.6343,1.0409
64241,64241,64241,0.4429,-0.0818,0.3606,2.4712,1.1801
55347,55347,55347,0.3437,-0.0266,-0.4635,-0.822,-0.2726
83451,83451,83451,-0.608,0.1176,-0.4476,1.5413,-0.0712
26090,26090,26090,-0.9688,-0.6509,-0.3287,0.6205,0.1018
145447,145447,145447,-1.3624,-0.8623,-0.1523,-1.1587,-1.3624
84945,84945,84945,0.7708,-1.8049,-0.8234,-1.2029,-0.3185
25864,25864,25864,-0.4567,1.6557,0.4013,0.6588,0.95
84836,84836,84836,-0.76,0.221,-0.1166,-0.4859,0.4411
116236,116236,116236,0.2885,0.0888,0.6161,0.3813,0.9451
84696,84696,84696,0.0432,0.6515,-1.1835,0.4524,0.5109
11057,11057,11057,1.2169,-0.7416,1.2557,0.0002,-0.1047
171586,171586,171586,1.4801,0.3369,0.136,0.9365,-0.7385
63874,63874,63874,-0.1375,1.8105,0.7122,2.587,-0.2834
51099,51099,51099,0.406,-0.445,0.1567,-1.4737,-0.6993
57406,57406,57406,-0.367,-0.9358,-0.7283,0.1592,0.6807
79575,79575,79575,-0.0408,1.0338,0.3406,-0.7727,-0.7415
10006,10006,10006,0.9036,-0.5529,-0.6003,-0.4667,-0.3838
10152,10152,10152,0.4478,-0.4032,-0.0355,-0.6885,0.57
51225,51225,51225,-0.5689,1.8634,1.9625,1.0804,1.4157
25890,25890,25890,0.1261,-0.219,0.5624,1.3743,0.9738
25,25,25,-0.4918,0.0889,-0.7157,1.5155,1.1933
27,27,27,0.5862,0.1167,-0.2361,0.4358,-0.0926
3983,3983,3983,1.0637,-0.6301,1.4724,-0.3785,0.2273
84448,84448,84448,-1.8133,0.0523,-1.1554,-0.0623,-0.5814
22885,22885,22885,-0.8488,2.9992,1.9473,0.3722,-0.2391
28,28,28,-0.0363,-0.8659,-2.3218,-0.1888,0.2781
26,26,26,-0.7779,-2.5568,-3.7683,0.5577,-1.0636
29,29,29,1.957,-0.0633,0.4105,0.6447,0.1555
137735,137735,137735,,,-1.6337,,
29777,29777,29777,-1.9582,0.0335,-0.5546,0.4362,0.2678
80325,80325,80325,-1.1189,2.8947,0.7012,2.3535,1.5855
25841,25841,25841,0.7635,0.1396,-0.1099,0.85,0.737
30,30,30,-1.9303,0.5169,0.0634,-0.7436,-1.368
10449,10449,10449,1.9162,-0.4676,-0.2111,0.0882,0.2845
31,31,31,-0.3093,-0.5807,-1.166,-0.9613,-1.1348
32,32,32,0.1864,0.3338,-0.8177,1.3649,-0.1163
80724,80724,80724,-0.0874,-0.1746,-0.9343,1.7431,2.566
84129,84129,84129,0.9971,0.429,-0.1166,0.3565,-0.9395
27034,27034,27034,-0.585,0.5658,0.6166,1.1184,0.5091
28976,28976,28976,-1.4726,0.8235,0.2239,-0.8734,1.1379
33,33,33,,,-0.6612,,
34,34,34,1.3629,-1.3211,-0.5517,-0.9564,-0.198
35,35,35,-0.7015,1.0424,-0.0763,1.1366,1.4519
36,36,36,1.1768,-3.1506,-1.8534,-0.324,0.584
37,37,37,0.452,1.3551,-0.0351,0.3337,0.4683
176,176,176,1.5291,-1.5155,0.2646,0.4136,-1.944
9744,9744,9744,-0.3688,1.2295,1.6356,1.5286,1.0397
23527,23527,23527,2.7385,-1.8588,0.0259,-0.5153,0.4908
116983,116983,116983,1.2682,1.4457,0.0324,1.0365,0.2176
38,38,38,-0.8764,-0.5383,-0.37,-0.07,0.1616
39,39,39,-0.5201,-0.7243,-1.9492,-3.0286,-1.2381
64746,64746,64746,1.83,-1.599,0.7912,-0.4287,-0.5555
79777,79777,79777,0.065,0.0584,-0.4322,0.7001,0.1894
91452,91452,91452,1.3615,-1.8924,1.5959,0.0423,0.065
84320,84320,84320,0.4093,0.3239,-0.4063,-1.1895,-1.1522
414149,414149,414149,1.0135,0.5747,0.4977,0.3163,1.0669
40,40,40,0.1113,-1.6516,-0.9157,-1.6516,-1.3852
41,41,41,-0.611,0.5025,-0.552,-0.3269,0.7796
9311,9311,9311,1.0082,2.5823,0.7827,3.3551,1.0919
55515,55515,55515,0.8572,1.7829,-1.5318,3.2729,-0.4667
51802,51802,51802,,,-2.6032,,
84680,84680,84680,0.6952,0.4621,0.5039,0.7152,-0.8919
390110,390110,390110,,,-2.8139,,
65057,65057,65057,-0.0908,2.6115,0.9169,1.6047,1.5826
1636,1636,1636,-0.227,0.3188,0.8321,0.7535,2.2113
59272,59272,59272,-0.2046,-1.8004,-0.7141,-0.769,-0.911
125981,125981,125981,,,-2.4428,,
340485,340485,340485,1.8677,0.6852,-0.559,0.1724,-0.6292
55331,55331,55331,1.0325,-0.6895,-0.6344,-0.5066,0.1724
43,43,43,-0.0345,-0.0683,0.1104,2.9893,-0.6584
22985,22985,22985,0.1139,0.3779,0.7836,0.6864,0.568
47,47,47,-0.7737,1.0178,-1.234,-1.6291,-2.0127
130013,130013,130013,,,-0.9322,,
57001,57001,57001,0.1718,-0.5039,-0.9658,-1.0571,-0.7722
48,48,48,-1.0568,-0.5327,0.7046,1.4058,0.8543
50,50,50,-1.4659,1.2413,0.2827,1.0888,0.3133
26027,26027,26027,-0.6554,-0.5033,-2.0313,-2.386,-1.337
134526,134526,134526,,,-1.1823,,
55856,55856,55856,-0.473,-1.5857,-0.2177,-1.0912,-2.2783
641371,641371,641371,-1.2969,-1.239,-0.2331,-0.2012,-1.6854
10965,10965,10965,-1.2593,-0.7664,-0.1866,-0.2601,-2.3559
122970,122970,122970,0.3673,0.9809,-0.38,1.0098,0.6922
641372,641372,641372,-0.2299,-2.036,0.1947,2.1682,-2.036
11332,11332,11332,-1.6359,1.3484,0.5194,-0.2839,0.0885
10005,10005,10005,-1.2529,0.1026,-1.0464,-0.6786,-1.7769
23597,23597,23597,-0.4784,0.4983,2.4743,0.423,0.815
51,51,51,-0.083,-1.7628,-1.0746,-1.998,-1.9277
8309,8309,8309,-0.738,-1.1601,-1.8552,-3.1128,-2.7652
8310,8310,8310,-2.2798,-0.1784,0.6863,-0.6388,-0.0722
55289,55289,55289,-0.0329,2.1867,1.7146,2.4904,-1.6952
52,52,52,-0.7193,-1.7846,-0.8235,-1.1838,-0.7755
53,53,53,-2.3709,2.277,1.9716,2.7778,2.3403
54,54,54,-1.3085,2.2542,1.2709,0.9752,1.7382
51205,51205,51205,-0.0314,0.8701,0.6304,0.2274,-0.5302
92370,92370,92370,-0.4034,-2.5071,-0.5794,0.4438,1.4656
55,55,55,0.859,0.451,0.9823,-0.9095,-1.3674
93650,93650,93650,,,-0.4721,,
49,49,49,-2.2384,-2.2384,-1.5621,0.6598,1.0735
84519,84519,84519,0.1483,2.1297,-0.0742,0.9122,1.2017
93953,93953,93953,0.3649,-1.2894,-0.9185,-0.6272,-0.8998
56,56,56,1.0803,-1.101,-1.2155,0.4559,-0.3807
23205,23205,23205,0.7019,0.4721,-0.0171,-0.5074,0.2528
81616,81616,81616,-1.804,-1.804,-0.4394,-0.0684,-1.093
80221,80221,80221,-1.4525,-0.0854,-0.2551,0.7927,-1.2231
197322,197322,197322,-1.0556,-0.2541,-0.8442,-0.0932,0.7828
2180,2180,2180,-0.3786,0.3927,-0.7836,-0.4059,0.3597
2181,2181,2181,0.6159,-1.3376,0.94,-0.76,0.4114
2182,2182,2182,2.0117,-0.9566,-0.5261,-0.2864,0.4878
51703,51703,51703,-0.6127,-2.2104,-0.213,-2.3048,-2.1715
23305,23305,23305,-1.0487,-1.4387,-2.5446,-1.6109,-2.4084
116285,116285,116285,-0.2493,-0.3863,0.6245,-0.5896,-1.7093
123876,123876,123876,,,-0.1088,,
348158,348158,348158,,,-1.3184,,
6296,6296,6296,1.4185,-2.0214,-0.1656,-1.3725,-2.1423
341392,341392,341392,,,-3.8138,,
54988,54988,54988,-1.5274,-1.5274,0.7909,0.3725,0.1329
84532,84532,84532,-1.062,-0.6945,-1.1904,0.5053,1.0286
55902,55902,55902,-0.6593,-1.7534,-3.0535,-0.0241,-1.3448
79611,79611,79611,-0.5497,0.5011,0.3784,-0.5946,-0.4395
58,58,58,0.0999,-0.1895,-0.5232,1.8108,-1.7813
59,59,59,-1.3332,0.9374,1.0106,-0.3708,-0.1056
60,60,60,-1.7874,2.5859,1.1678,-0.0308,-0.3035
345651,345651,345651,,,1.1024,,
70,70,70,-0.5357,0.3455,0.6973,-0.2962,1.0551
71,71,71,-2.3143,2.544,0.2977,2.5287,0.1559
72,72,72,-0.8824,-0.1548,1.3041,-0.6771,-0.5572
86,86,86,0.7382,-1.722,-0.4946,-2.3692,-0.9938
51412,51412,51412,,,-0.3493,,
10881,10881,10881,,,-3.486,,
10880,10880,10880,,,-0.5382,,
81569,81569,81569,0.1964,-0.9596,-1.0297,1.8004,0.4568
284382,284382,284382,,,-3.8998,,
87,87,87,-0.8564,1.5627,1.2243,-1.4298,-0.1864
88,88,88,-0.6413,-1.3506,-0.2385,-0.2493,0.3635
89,89,89,1.8325,1.1389,1.4053,1.7212,1.3084
81,81,81,-1.9664,1.3967,-0.2233,-0.2254,-1.2323
55860,55860,55860,0.5867,-1.6459,0.0133,-0.0716,0.4375
10121,10121,10121,-2.3859,1.242,1.4146,0.2698,-0.7779
10120,10120,10120,-1.9951,1.6702,-0.0488,-0.9283,-0.8265
10097,10097,10097,1.4946,-2.924,-0.1388,-1.2822,-0.1962
10096,10096,10096,-0.2688,-0.5743,0.6893,-3.2324,-1.9107
57180,57180,57180,-0.6925,-1.2164,-1.1469,-1.5062,0.8969
653857,653857,653857,-0.8003,-1.0196,-1.0216,-0.716,1.5002
79913,79913,79913,-0.587,-0.9553,-0.4508,0.1431,-0.3198
64431,64431,64431,0.9867,-1.5384,-0.2829,0.3344,0.9136
93973,93973,93973,0.1781,-1.2845,0.0824,-0.3994,-0.1675
139741,139741,139741,,,-1.9158,,
140625,140625,140625,,,,,
90,90,90,-0.3284,1.6272,1.0735,0.0237,-0.2388
91,91,91,-1.1012,-1.3851,-2.5009,0.3777,0.738
130399,130399,130399,0.0681,-0.7639,-0.226,-0.7025,-0.4841
92,92,92,0.0163,-2.0505,-0.5194,0.7384,-0.8531
93,93,93,0.8018,-2.3982,-1.1077,-0.1845,-0.9902
94,94,94,0.0559,-0.1128,-0.6461,1.3355,-1.0015
95,95,95,-0.7765,0.4562,-0.0709,-1.415,-1.1756
91703,91703,91703,0.3193,-0.1479,-0.1538,0.92,-0.4894
97,97,97,1.1745,0.7809,-0.2182,-0.4447,-1.7234
98,98,98,0.7108,0.9015,-0.4086,0.1999,-1.155
100,100,100,0.0504,1.4777,1.2659,0.4269,1.3944
132612,132612,132612,,,-2.035,,
161931,161931,161931,-1.1758,-1.1758,-0.1581,-0.4718,-1.1758
161823,161823,161823,0.4052,-1.3868,0.2077,-1.0447,0.086
102,102,102,1.3119,-0.1686,0.6653,-0.138,1.9435
4185,4185,4185,0.8232,1.9493,1.384,4.1232,1.0652
8038,8038,8038,-0.1546,1.3923,1.422,0.3372,0.376
8751,8751,8751,0.9994,1.5003,-0.262,0.5742,1.2669
6868,6868,6868,0.2862,0.3893,0.1388,-1.1159,0.6837
8749,8749,8749,,,-1.586,,
8728,8728,8728,-0.8482,1.6409,0.6152,-0.4334,-0.2249
8748,8748,8748,-2.2915,-2.2915,0.0478,0.3145,-1.3507
8747,8747,8747,-1.7095,-1.7095,-1.0573,0.7057,-1.7095
145241,145241,145241,,,-0.6318,,
2515,2515,2515,,,-1.3402,,
53616,53616,53616,1.1731,0.5127,-0.164,0.2809,1.0593
8745,8745,8745,-0.5682,0.1413,0.4113,-0.6468,-0.3915
10863,10863,10863,-0.2352,-0.0885,3.2168,0.6407,0.5249
11086,11086,11086,,,-1.1165,,
11085,11085,11085,,,-10.0085,,
203102,203102,203102,0.7197,-0.4022,-1.5374,-0.7805,-1.8558
80332,80332,80332,-0.9567,1.0358,0.7148,-0.1509,-0.4552
1587,1587,1587,,,-3.0149,,
255926,255926,255926,,,-14.7498,,
8755,8755,8755,-0.1718,1.0167,1.1275,0.733,-0.1308
8756,8756,8756,,,-7.5348,,
101,101,101,-0.3319,2.7888,1.0652,1.341,1.7088
8754,8754,8754,1.3457,-0.087,1.7111,-0.3214,0.3758
27299,27299,27299,-0.006,-0.4164,0.3936,-0.2298,0.6097
81794,81794,81794,-0.8174,1.8973,1.0664,0.2813,-0.212
81792,81792,81792,-0.6124,1.2849,0.67,-0.2376,0.3631
11093,11093,11093,1.6784,1.7951,-0.0809,1.7674,0.1641
140766,140766,140766,0.9465,1.5196,0.1673,-0.145,-0.607
170689,170689,170689,1.394,1.632,-0.0441,-0.8619,-0.0474
170690,170690,170690,-1.152,0.7366,0.9868,-0.042,-1.0685
170691,170691,170691,0.498,1.0634,0.2006,1.2838,0.735
170692,170692,170692,0.0364,-0.265,1.1312,-1.0031,0.1559
171019,171019,171019,-1.266,-0.7636,-1.266,-1.266,-1.266
9510,9510,9510,0.0849,0.3861,1.2084,-0.5472,-0.0947
80070,80070,80070,,,-0.8378,,
9509,9509,9509,-0.6087,2.1419,1.4469,0.5098,0.8185
9508,9508,9508,-0.1919,-0.1364,0.437,-0.2597,-1.5785
9507,9507,9507,0.0494,1.9907,1.2809,0.7145,0.3941
11096,11096,11096,0.3203,-0.6266,1.6336,-0.7044,-0.6305
11174,11174,11174,-0.251,0.9901,0.5716,-0.4447,-0.0965
11173,11173,11173,-0.9257,1.7767,1.0931,-0.2461,-0.6295
11095,11095,11095,-0.3077,-1.0657,-0.0697,-0.2478,-1.7518
56999,56999,56999,1.4008,-0.5126,0.3421,-1.4692,-1.5487
92949,92949,92949,-0.755,1.2998,0.3728,-1.1005,-0.7892
9719,9719,9719,-0.5578,0.0892,-0.0771,0.302,-1.0158
57188,57188,57188,-0.583,0.0132,0.6497,-0.6955,-0.0091
54507,54507,54507,-0.1358,1.7592,0.6717,0.8521,1.6823
339366,339366,339366,0.6328,2.5175,0.2512,2.281,0.8962
11033,11033,11033,0.5598,-1.4218,0.8223,0.6133,0.1473
55803,55803,55803,0.024,0.9977,1.6846,2.0354,1.1572
103,103,103,1.1436,0.6751,1.8648,1.5542,2.5242
104,104,104,1.0493,1.817,1.32,1.1306,1.3529
105,105,105,-1.8216,0.3505,-1.8216,1.3813,-1.8216
23536,23536,23536,1.8296,-0.2443,-0.3309,-1.5307,-1.4187
134637,134637,134637,1.9139,-1.5559,-1.2974,-0.9155,0.0539
113179,113179,113179,-0.743,1.4034,0.0782,0.3468,0.0481
113451,113451,113451,-0.1292,1.8463,0.3222,0.9301,0.8092
57143,57143,57143,-0.4432,-1.0127,-0.7514,0.1121,0.1515
90956,90956,90956,-0.8232,-0.1883,0.2085,-0.9093,0.3376
79934,79934,79934,-0.4769,1.0054,0.9774,-0.7317,-0.5886
203054,203054,203054,1.1082,0.3658,-0.3802,0.299,-0.7094
55811,55811,55811,-0.4692,-1.7141,0.3289,1.6214,-1.7141
107,107,107,2.0044,-0.033,-0.353,-1.3697,-1.9683
108,108,108,-2.6559,1.0647,0.7772,-0.3742,-0.8907
109,109,109,-0.9017,0.7543,-0.7643,0.3255,1.3553
196883,196883,196883,-0.8455,1.4286,1.652,1.7643,-0.6056
111,111,111,-0.3033,0.2554,0.8427,-1.1569,-0.3485
112,112,112,0.3234,1.5844,-1.7426,1.1939,0.4297
113,113,113,-0.0862,1.4861,0.7564,1.1101,1.527
114,114,114,,,-1.6478,,
115,115,115,-0.2644,0.3021,0.5326,0.2672,1.9485
116,116,116,-0.073,-1.162,1.5664,-0.3163,-0.1062
117,117,117,-1.3581,-1.3581,-0.5741,-1.3581,-1.3581
118,118,118,-3.0388,0.6284,1.2503,1.6933,0.3236
119,119,119,-0.5774,0.2499,1.103,0.061,-0.2848
120,120,120,1.5785,-2.5654,-1.259,-0.4989,-1.4507
124,124,124,-1.3741,0.8054,-1.5562,0.1056,-1.5562
125,125,125,-0.4556,0.8636,-0.1557,-1.3174,-0.6058
126,126,126,-0.3219,-1.4955,-2.168,-0.1489,-0.7259
127,127,127,0.244,-1.1878,-1.1148,-0.5961,-1.8405
