TCGA-AA-3664-01,TCGA-AA-3715-01,TCGA-AA-A01P-01,TCGA-AA-A022-01,TCGA-AA-A02R-01
0.1697,-1.4336,0.5689,-4.89,-5.2251
-0.1089,-1.257,1.6443,-3.2275,-1.5874
0.3726,-3.3646,-1.5699,1.0736,-0.1939
1.2371,0.6762,-1.0335,4.1878,-1.7341
-0.6286,0.1218,1.9633,2.461,-0.4045
2.451,-1.5173,-0.8137,1.6742,-1.5173
1.0923,1.8642,2.608,3.4147,2.3113
-0.4833,1.3754,-0.5754,1.9685,3.6507
0.3635,-0.517,-0.5895,3.958,2.6781
0.4358,1.2823,1.1464,3.912,2.241
1.3861,-1.1999,2.3197,2.1999,1.4854
2.2691,2.2689,0.0592,-0.7833,0.2825
0.9855,-0.0867,2.6286,1.4429,-1.6484
1.8274,1.6724,-2.1022,-1.9688,-1.4821
1.5015,1.4396,1.4496,4.0871,-0.2767
0.1488,-0.11,-0.5443,-0.7449,-3.7861
1.7755,-1.6025,2.1458,-1.6025,-1.6025
2.4484,-0.3503,1.5086,-0.2462,-2.2117
-1.0909,-4.659,0.324,0.3373,-1.3723
0.5899,-0.582,0.297,3.1066,-1.6581
-5.396,-2.3412,-5.396,-5.396,0.6453
0.7635,-1.3192,-2.6,-0.9348,2.5309
-0.6279,-0.8013,0.9594,0.3566,-3.1831
0.0295,-0.3554,0.7389,-1.7282,2.9772
-0.9748,-0.9196,-1.4812,-3.2018,-2.1511
0.8335,-3.2079,1.9554,0.0696,-3.3432
0.2597,1.4286,-0.969,-0.2244,-3.087
-0.0946,1.0062,-0.2152,3.5721,-1.8511
1.3731,-0.9379,-1.999,-3.763,-0.5928
0.1506,0.5107,-0.4274,3.6009,1.1916
-0.0868,-2.2542,-3.6855,-0.4229,-0.7867
-0.6668,-2.762,-0.4129,-1.9921,-5.0869
1.8431,3.3612,-0.4474,-0.2156,1.3734
1.5572,-1.7879,-2.2365,1.1304,-1.489
1.4339,-0.4549,-0.0082,-3.0051,-2.2405
0.3345,2.8479,-0.7952,-0.8074,-1.583
0.767,-2.6382,-2.1622,2.3885,-0.3009
-0.4961,-0.4651,-4.3238,-0.5959,-1.6191
-1.3361,-1.3764,-7.0555,0.5133,-0.0534
0.1123,-1.8958,-1.2048,-1.1726,-4.0927
-0.4599,-3.5896,-0.4274,-1.0886,-3.6906
2.9429,2.0854,0.1342,0.7804,1.9067
-0.6485,-1.4911,2.844,0.9146,-0.6974
-2.5031,-0.2921,-0.0404,0.2884,-2.1375
-1.4506,-1.5721,-0.2863,-1.2303,-3.0539
-0.0839,-1.0951,-0.2834,3.4913,0.8916
0.9531,-0.5151,-0.2616,-2.4628,-2.9273
2.2338,1.2534,-1.5323,0.4744,1.01
0.104,2.5198,1.794,0.5567,-1.7232
-0.6395,1.1738,-2.1756,1.3481,-0.4401
-0.0946,2.9174,1.4829,2.0887,-1.8717
-1.912,0.2813,-0.8685,2.6278,1.3955
-0.1224,1.9016,1.7571,-1.5965,-1.2514
-0.8915,-1.1139,-1.1308,0.4352,-3.7738
-0.0663,-2.2046,0.7797,2.4476,2.057
-0.9516,-0.8911,-3.1974,-1.8098,-4.2704
-1.1272,1.4496,3.5019,0.8719,1.1271
0.8377,-2.8279,2.1081,0.3162,-1.6697
0.5583,1.934,1.933,-1.6726,0.0203
1.8579,2.9521,1.2784,2.3821,0.9633
0.4946,-0.4692,3.5404,0.009,1.4987
-1.2526,-0.8663,-1.2526,3.2902,-0.8217
1.2154,3.6418,-0.6573,0.3294,1.7618
-0.8648,-0.8012,0.7853,0.3269,2.787
-1.1124,-3.0108,-3.3465,0.3115,-1.4928
2.5125,3.3548,2.2069,1.4216,1.1485
0.0051,1.7932,2.0943,3.8341,1.5817
2.1056,1.7529,-1.2641,-1.2614,0.4685
-0.2748,2.6948,0.6483,3.4407,-0.2644
-2.7984,-1.2227,-0.6408,-0.0583,-0.0714
-0.2602,-0.2499,4.3096,3.1993,3.1458
