TCGA-AA-3664-01,TCGA-AA-3715-01,TCGA-AA-A01P-01,TCGA-AA-A022-01,TCGA-AA-A02R-01
2.9657,-0.9604,-1.2577,2.3249,0.2968
1.2681,-0.7362,1.8405,0.7079,-2.4118
-1.35,2.1912,-1.9616,3.6258,0.3394
-0.7757,-0.0959,2.1918,2.7141,2.192
-1.2884,2.5733,0.5168,1.1217,3.3189
1.1571,2.1288,-0.7697,1.9021,-1.8748
2.999,0.0952,-0.6888,-0.7011,1.825
-0.3339,0.7883,2.1129,-2.3449,-1.3842
-1.9082,1.254,-1.958,-0.4415,0.1515
-0.0027,0.1084,0.5295,-0.9918,-3.7193
1.422,-0.3162,2.7836,-1.5531,-1.5531
-2.6258,0.0422,0.4502,2.4844,0.0646
1.7449,-1.9876,-0.5755,2.8213,-0.1991
-0.2415,-2.3774,-1.7529,0.5809,-2.9337
-1.0442,0.9058,-1.9869,-2.077,-1.5299
-1.4371,-3.1879,-2.0062,-0.3196,-0.9518
0.0623,2.8926,-0.3556,-0.6685,-1.8783
0.2189,2.7459,-1.0011,-1.4099,-0.3891
0.8699,3.9702,0.1071,-0.9942,-0.1815
-0.3577,3.2748,-1.0178,-1.0178,-1.0178
-2.0984,-2.623,-0.8251,-2.3902,-1.0607
1.4192,-0.3183,2.6883,2.1213,3.0652
-1.8429,-1.6159,-0.5175,1.9115,1.1996
2.11,-0.0931,-1.1888,-1.1888,4.5513
-2.1368,1.0318,0.6894,-2.1368,-2.1368
1.5574,1.4688,2.2108,0.1551,-1.7926
-1.3283,2.7591,-1.7164,-0.2927,1.1361
-1.4796,1.6871,-0.8641,-0.9306,1.9512
-0.7515,-1.774,-3.2415,0.471,-2.7642
0.771,0.0233,-2.1537,-2.1546,-3.773
2.1613,1.0083,-0.1869,0.387,2.5401
-1.2584,1.129,-1.512,-0.278,-3.3827
0.0982,-2.645,-2.9956,0.3029,-0.5015
0.018,-2.2287,2.6459,0.3013,-1.8173
2.0072,-1.4218,-0.4463,-0.7958,2.4941
-0.6689,1.3822,-2.1257,-0.9719,1.31
-0.0793,-0.037,-1.5534,-0.8936,1.6628
-0.9171,2.1838,-0.1114,0.9649,2.5449
0.1907,2.6615,0.3774,-1.0062,-2.2636
-2.7984,-1.0351,1.0318,1.2173,0.5985
0.7631,-2.4469,1.6903,-0.8501,0.8446
0.885,-0.7497,-1.7176,-1.7176,1.2581
0.4433,-3.2572,-3.1299,-2.5384,-4.9994
2.0531,0.081,-0.5671,-2.3066,-1.6361
-0.1782,-2.0697,-2.9403,-2.2366,-1.0673
1.9704,1.1192,-0.0995,-0.9282,-2.1639
0.7098,3.0974,0.8636,-1.0351,-1.1339
-0.6408,2.5326,-0.6865,-0.096,-1.9108
-1.1817,1.4582,0.4719,-1.3929,-2.4906
0.0174,-2.2674,-1.2287,3.6879,-0.4433
1.1514,2.1944,2.7324,0.3933,0.5336
-0.6033,2.6624,-0.3215,0.865,1.895
-1.6744,0.7425,2.0465,0.3831,-2.0807
-1.9074,-1.9074,0.0763,2.4004,-1.9074
-2.4666,1.1684,-2.4666,0.9939,-2.4666
0.1881,-2.9828,-2.3584,-1.7139,-4.2078
0.2426,-1.5631,-0.0779,-3.5497,-1.7296
-3.9696,-1.9189,0.4309,-0.6793,-2.0393
-0.9983,-2.1471,-2.8479,0.5114,-2.6514
-1.1856,1.642,-2.9211,0.9714,0.8854
3.6262,0.0658,-1.8705,0.7688,-1.8705
2.3534,-2.0036,-2.0036,2.207,-2.0036
0.1301,2.4802,-0.2267,-1.6302,-1.6302
1.4212,0.6957,-0.3028,-2.6497,-0.5603
-0.437,-2.5966,-0.908,-0.6867,-3.2229
-0.2425,1.2765,2.954,2.3344,-0.12
1.0014,2.3702,-0.7881,-0.1509,-1.2666
0.3459,-0.8535,0.162,-5.3031,0.3219
0.7368,-0.6045,-0.6573,-0.6045,4.2881
-0.9969,0.7543,2.9569,-0.0857,-1.7339
0.3689,-3.2531,0.0094,-0.2657,-3.7177
-1.1208,-0.0463,-2.7158,-1.4385,-1.302
-1.9786,1.2751,-0.0386,3.2455,-1.9786
-0.175,0.218,-2.7941,-1.8926,-1.7494
1.0212,2.701,-0.3117,-0.356,-0.5724
-1.5697,-1.6582,-0.2119,-2.958,-1.8619
0.9037,0.2473,1.1083,-2.7264,1.2743
0.8677,-0.7574,0.2162,3.2545,0.4581
-2.6098,0.2604,1.5542,-0.6589,-1.279
1.2109,-0.4501,2.4117,2.3669,0.5299
0.7025,-3.255,0.664,-0.7931,-2.6069
1.4471,1.6158,2.1611,-0.787,-0.2922
-0.4051,0.5993,0.6066,-3.2627,-0.8699
0.8263,0.1449,0.1183,3.7631,-1.7757
0.7074,1.4494,3.2046,1.7547,0.6129
1.5045,1.3486,-0.0843,2.0101,-2.7376
-2.5474,-4.3854,0.5086,0.693,-4.383
0.9256,2.935,0.6301,3.1395,-0.0548
-0.3494,2.8251,0.4096,0.7222,-2.2738
-1.8508,1.6147,1.0108,0.3897,-2.0085
-0.46,-0.4029,-0.891,4.6594,-1.6795
1.6727,1.5926,-0.1403,1.4272,3.2961
-0.3546,-0.1416,1.4613,2.5181,2.309
-2.366,-2.366,-1.4466,1.065,-2.366
1.8801,1.3542,-1.7067,-0.1492,-0.8205
-1.3989,1.0105,2.3239,3.2668,0.0837
1.8092,-2.1756,0.7443,0.4055,-2.9067
0.0274,0.2503,2.9748,-0.3564,-1.9946
1.3921,0.7737,2.0529,2.7521,3.2684
2.7406,-0.2622,-1.7238,1.3184,-1.7238
1.661,-2.404,-1.6609,0.7898,-2.404
-1.6803,0.8326,0.3305,-1.6803,2.0651
-1.4722,-2.0918,-2.4044,-2.1123,-0.9557
2.5991,-0.5958,0.6144,1.4798,-1.8974
-1.9082,1.2053,-1.5202,1.137,1.5616
0.7685,-2.7631,0.8089,-1.2004,1.6691
0.4908,2.8494,0.5682,2.8504,2.6247
1.117,1.2476,1.3497,-2.1006,-0.2654
2.1087,2.6339,0.7208,0.9927,1.3963
-0.7095,0.5104,1.7256,-3.2112,0.6577
-1.8073,0.7351,-0.3942,-1.8073,1.7425
-0.5626,0.1139,-2.1035,2.8628,1.1817
-0.9576,1.295,-0.1123,-3.8151,0.9942
1.205,0.1854,3.1909,1.6315,0.1912
1.0556,-0.5311,3.2672,1.8306,0.3067
0.6037,-1.0686,3.8452,2.0967,-1.3645
0.3974,-1.3691,-1.9237,-0.312,-3.1692
-0.3164,0.1402,-2.395,-0.4942,1.3526
-0.293,2.1989,-1.6595,2.1093,-0.2668
0.6993,0.1597,-0.6177,-3.6566,0.63
-1.4047,-0.0021,0.786,3.4163,1.329
-2.9707,-1.1596,0.0832,0.4112,-0.3027
-0.291,1.3487,0.1905,-3.3236,-4.9499
1.4608,-1.6942,0.2023,-2.9181,-3.5653
-0.7865,-0.1592,3.5497,1.2892,-0.8457
-0.2255,-3.4806,-2.1227,-0.2409,-3.7557
-1.0354,-1.7749,-0.4489,0.403,-3.7435
-0.5509,0.5524,-1.0361,-2.893,0.5499
-1.9454,-1.9454,-1.9454,4.1162,-1.9454
0.278,3.2173,-2.0125,0.1467,-0.6474
-0.3975,2.558,-0.7036,-1.2859,2.3579
1.9631,1.8589,-0.7018,2.7466,2.746
0.6928,-1.0461,1.6996,2.9736,1.7077
0.4208,-1.6363,-3.9322,-1.5619,-3.1408
0.8338,-3.075,-0.7443,-1.9837,-3.7603
-0.5636,-0.6116,1.5943,-2.3945,-0.8277
-0.7471,1.6665,-0.3747,-0.0132,2.7428
-1.8095,0.422,-1.4409,0.8932,-2.379
2.0745,3.5299,-0.3389,-0.8509,-0.4964
-1.6013,1.6186,1.6684,-1.6013,0.3357
1.5875,-2.4069,0.0546,-1.2716,-3.4394
0.3681,-0.0666,-3.0892,-0.1315,0.3528
-2.2631,-2.2631,-2.2631,-2.2631,-2.2631
-1.6009,1.7993,-1.6009,2.6389,-1.6009
-2.2082,0.6055,0.7128,-2.2082,0.5456
0.4103,0.6874,-0.2635,-2.4435,-4.5635
-0.5329,-0.1948,-2.0243,0.4486,1.3766
0.6918,0.859,1.3056,4.4746,0.5818
1.0053,2.0028,-1.3332,0.9662,-1.6345
0.7369,-2.4355,-0.5222,-1.7112,-3.0172
-0.9317,-2.805,-4.6006,-1.7127,-2.5339
-0.1904,-2.1794,-1.1793,0.6723,-3.441
1.717,0.686,-2.4346,-1.0941,-1.6213
-1.6646,0.873,-0.1782,4.029,-1.6646
-0.3746,0.8881,1.2675,-1.4336,-2.8377
0.7086,0.6486,-2.7838,1.9723,0.8132
1.2145,-1.9021,-1.1704,2.8853,-0.571
0.5179,-0.5057,-3.9834,-0.5962,-1.3184
1.9774,2.1425,0.8118,2.6378,0.4164
-1.0929,0.2603,-0.1018,1.6899,3.4364
0.3312,-1.1673,4.3494,-0.5401,-0.3945
1.7935,-1.4885,1.3658,2.8077,1.6074
1.7629,-1.5563,1.2473,1.5055,-1.5563
0.6766,3.8508,-1.0363,-0.6727,0.1726
1.4945,1.9004,-1.902,-2.2371,-0.6362
1.7893,1.3187,-1.6822,-0.0716,1.7944
2.3131,-0.7796,-1.1766,2.9809,-0.6635
2.8857,1.2294,2.3565,1.6875,0.0828
0.082,-0.5906,0.8241,-5.1484,0.2485
0.3356,0.3074,-1.2851,0.8284,2.4631
-1.4715,-0.4401,2.5003,2.0629,-0.2726
-0.3284,-0.4349,2.869,1.941,0.6715
0.5852,-0.0956,3.4191,2.6686,2.2452
1.4325,-1.3508,-3.5219,-0.322,-0.3859
3.3806,-1.5226,-0.3443,0.7838,-2.4007
2.9441,0.2955,-1.1284,1.2627,-0.9681
2.909,-0.6108,-1.4322,1.1906,-1.6375
-0.7821,-3.7105,-0.791,1.4944,-1.7325
0.2694,-3.0995,-0.1835,0.8745,-2.5525
-0.4643,-1.4518,0.3922,-2.1737,-3.0798
0.04,-0.8627,1.3166,-0.6427,-2.9205
1.5474,1.2872,2.4401,-1.6848,-1.9129
1.861,-0.5527,0.7136,-2.5604,0.7357
2.5435,1.6859,-1.0039,-1.2386,-1.2386
2.4655,2.326,0.9609,-1.2062,-0.8714
2.5852,1.7014,0.4333,0.4435,-1.3383
-0.3293,1.4662,0.3857,3.1341,3.1039
1.7135,2.2814,1.9181,1.3249,0.7275
0.6961,3.527,0.1805,0.0224,-0.3528
2.185,-0.4536,-2.0615,-0.9328,-2.0615
0.382,-0.4003,0.3456,4.424,-1.5222
0.7666,-2.8629,0.3449,-0.0968,-2.8629
0.7702,1.4154,-2.2523,-0.6013,-0.9944
-0.64,-2.6617,-0.6886,-1.3206,1.3499
0.2836,1.9894,2.888,3.2969,2.6157
0.0186,2.9167,-1.879,0.684,1.3403
0.0231,-1.9101,0.2482,-0.2805,-3.0854
0.7826,-2.1041,-6.8055,0.5873,-0.8117
0.7529,-0.8623,-2.3299,0.8851,1.6496
-1.0207,-0.3211,-2.8013,-1.2999,-0.0843
1.2625,-0.9408,-2.3898,1.8316,1.3446
-0.8163,0.227,0.25,-2.4336,-3.419
-0.0802,-0.1623,-0.2767,-3.5959,-5.311
0.645,-0.7266,3.9403,0.2211,0.0783
2.1845,-1.0698,1.1611,0.1225,-2.0871
-0.3186,-1.333,-3.8073,-1.1289,-0.727
-0.415,-1.3525,-2.3889,0.5936,-3.4687
-0.5918,1.608,1.4157,2.6964,2.9318
-0.4504,0.4025,-0.1273,3.9417,0.0984
1.0319,0.0976,-2.4455,1.3914,0.1793
1.3238,-1.5117,-2.0231,-0.8419,0.8235
-1.9241,-1.3207,0.4797,1.7495,1.4765
-1.6591,-2.7861,0.8292,1.3767,-0.0563
-2.1116,1.1679,1.7303,-0.7996,-2.1116
-1.4266,0.1758,-1.4266,5.8757,-1.4266
-0.1515,-2.3118,-3.3726,-4.1193,-2.7689
-0.1569,-2.2804,-3.4628,-3.4628,-3.0652
-2.6797,-0.0857,1.6113,0.472,0.3484
1.0783,0.0571,4.7937,1.0693,-1.0786
-0.3457,-1.1677,-0.7136,-2.5555,-3.5884
-0.2452,1.2862,-1.7218,-3.099,-2.7248
0.8356,-0.0267,-1.4143,-0.8533,2.0483
-2.3474,-2.9099,-0.0021,-0.9624,-0.9284
1.5214,1.3136,1.251,-1.8182,2.3259
0.4492,2.3686,-3.2657,-1.3779,-1.5612
-0.659,-1.9909,-3.7821,-2.7593,-3.7821
-0.1471,-1.5184,-2.71,2.2457,0.2449
2.2593,0.4753,-0.9534,-0.9534,5.4394
0.088,-1.0297,1.8073,-2.0334,-3.5613
-0.7429,-3.3653,-0.0937,-0.7375,-3.8578
3.3044,-0.0549,-1.924,2.4714,-1.924
0.8191,-3.0387,2.1067,0.7697,-1.4199
0.733,1.6849,-1.1675,1.6514,2.2582
-1.1828,-1.6612,0.4336,-0.6027,-3.0943
1.1983,2.0383,-1.2961,2.9315,1.0855
2.1261,-0.6874,0.889,1.5455,3.064
1.375,-1.9655,1.411,2.0763,0.8615
-0.3121,-0.3706,-0.7575,0.9897,-4.0219
-1.7909,-0.5919,-3.6691,-1.0272,-0.1186
-0.6962,-0.5571,-0.0692,-1.8788,-3.801
2.0837,1.1287,3.34,1.3243,0.605
0.2687,0.9712,-2.6441,-1.457,-2.8732
0.6552,-0.1465,-1.7152,3.5767,-0.0731
-0.9833,-3.5609,-0.4947,-1.7995,0.4771
1.6417,2.3296,-0.4146,2.9986,-0.5011
-1.0244,-4.5385,0.649,-1.0168,-0.8775
-1.5255,-0.0737,-1.5255,3.2255,0.0471
0.9005,1.3197,-1.951,2.4332,0.3049
-2.5552,-0.0126,-2.3056,-0.8179,-3.1762
-1.2515,-1.1587,-1.8917,-2.0387,-3.3036
-0.2495,-0.1995,3.0112,-1.2136,-1.3655
0.4143,2.0667,-1.5921,0.477,0.1453
-0.6513,-2.8419,2.1708,-0.3322,-0.4042
-0.725,0.0538,2.9102,2.1318,0.6667
-1.8205,-1.7805,-2.0222,-2.0986,-2.9613
0.4017,-1.6095,-2.9,-1.4014,0.0738
-1.5205,0.1014,-2.4269,0.0712,0.7012
-0.3522,0.7428,-2.5082,0.023,-0.2259
-0.6413,-1.4476,-1.5247,0.6437,-4.3222
-0.2495,-1.5881,-1.5881,2.1434,1.7786
-1.2802,-2.4665,-1.1449,-2.5736,-0.3262
-0.0693,-1.2418,-3.4206,-2.0635,-2.5126
3.4989,3.1616,1.2476,1.5299,2.6371
0.958,4.8555,1.0954,0.2914,-0.2522
1.2963,1.077,-1.3614,1.3516,-3.1165
0.1729,2.2799,-1.293,-0.6243,2.9117
1.5312,-0.417,0.6911,6.8251,-0.3253
-2.686,-0.6328,1.4546,0.1381,-2.1374
1.0976,-1.0408,-0.8882,-3.1036,-2.9275
-1.51,1.1907,-2.7864,0.1126,-1.7525
-0.8622,-0.8282,-0.1755,3.463,2.4854
-1.4321,-4.7219,-0.6024,-3.6364,-5.2877
1.6239,0.3309,3.3368,2.9814,-0.8784
0.9766,0.2577,2.8252,2.2089,-0.6968
1.7821,-2.2331,-0.3296,3.6666,-0.284
-0.1196,2.0092,3.9608,2.2613,3.3049
-1.2006,1.6962,-1.3247,0.6014,-1.5997
-0.4915,-1.8106,-1.5817,-2.2199,-3.4711
0.4836,0.5411,-0.0447,3.7712,1.4884
1.9591,1.0298,1.0609,-1.8797,1.3671
1.2755,-1.0182,-2.4392,2.0375,-2.3524
-0.4302,-2.178,-4.1222,-1.0455,-3.6247
-0.4778,1.7903,3.2746,2.1096,-1.0088
1.2409,3.4376,0.8182,1.8012,-1.0761
-1.9082,-0.0212,1.151,3.4402,2.685
-1.666,-1.666,2.5202,-1.666,-1.666
-0.0322,-2.7433,-1.9066,-0.8096,0.9826
1.9241,1.0401,2.3154,2.8157,2.3464
-1.4384,-0.3817,0.8799,-1.4384,2.2913
-1.0642,-1.0996,-0.6589,-3.5005,-0.0468
0.9763,-1.2583,0.3174,-3.1248,-1.3173
0.5224,1.4259,2.0618,1.4118,-2.74
-0.2919,-2.9017,-0.5446,0.4426,-2.9017
0.6423,-0.2683,2.9092,0.7708,2.2245
-1.653,0.1194,0.2964,4.0922,0.6272
-1.5209,-3.044,-0.5763,-3.1617,0.3954
0.6344,0.6932,0.5687,0.2133,7.8009
0.2249,-1.3174,1.8531,-3.0697,-2.1591
1.5859,-1.4764,0.1182,1.1669,-3.0219
-1.6743,-3.4045,-1.3396,-3.1779,-1.7846
-2.114,-2.0716,1.0107,-1.7701,0.0837
-3.5318,-0.7725,0.3765,0.1599,0.9327
-2.7275,-4.5938,0.3138,-0.1775,0.3635
-3.5865,-1.8777,0.2842,0.4993,0.1143
-2.3501,-2.8404,-0.7516,-2.2379,-1.4378
-0.9554,-2.4368,-1.2863,-1.6028,1.2319
-3.7919,-2.7786,-0.1588,-0.9901,0.4442
0.4637,-3.1803,0.9518,-1.3818,1.0769
-4.906,-2.2281,0.2917,-0.4158,-0.1322
-2.7099,-2.0029,-1.1965,-2.0729,-1.346
-1.4317,-4.4148,-0.2725,0.6109,0.065
-2.0527,-1.4013,-2.1799,-0.713,0.2047
-2.8334,-2.6642,0.0137,-2.6931,1.3819
-2.2958,-3.161,0.8834,-0.784,0.0984
-1.5009,-0.7812,-0.1316,0.9112,2.9688
-1.9034,-1.3766,-0.798,-0.3167,-2.8636
-2.9015,-1.5983,-0.9287,0.0514,-2.2336
-3.4411,-0.7071,-0.0308,1.295,0.9717
-3.445,-0.2486,-0.3654,-0.3122,1.5194
0.7219,-1.0092,-2.1976,0.0068,-4.3547
-2.4842,-2.4842,-0.4189,-0.3587,-0.6459
-3.7626,-3.1504,0.6064,1.3054,1.2926
-3.0229,-1.7427,-0.1235,-1.131,-0.9503
1.9071,-2.5057,-1.6946,0.7398,1.8256
-1.9422,-4.36,-0.8485,-1.4558,0.3669
-3.0259,-3.6626,-0.2396,-0.94,0.4597
-5.2569,-2.1992,0.1192,-0.9344,-4.7599
-0.1918,-0.8599,-0.0866,-1.7589,1.8836
0.0803,-3.5894,-0.1974,2.0088,1.0895
0.1166,-1.3624,-2.7098,-2.3769,-0.7025
-1.6198,0.9308,-2.0491,-0.9687,-0.4608
1.1321,-0.4553,-3.519,-1.4061,-1.7714
