Entrez_Gene_Id,TCGA-AA-3664-01,TCGA-AA-3715-01,TCGA-AA-A01P-01,TCGA-AA-A022-01,TCGA-AA-A02R-01
1244.0,-0.4732,-0.4087,-1.082,-0.199,-1.5229
8714.0,-0.0588,0.4738,1.4338,0.3273,-0.7262
10257.0,-0.1541,-0.6292,-0.5373,-1.2634,0.6523
10057.0,1.5609,-1.2667,-1.6926,0.5279,-1.0168
368.0,0.1314,0.1995,-0.2013,0.7917,-0.4517
653190.0,-0.8786,-0.0981,-0.0689,0.7479,0.2552
730013.0,-0.5033,-0.944,-1.8643,1.1074,-1.3253
6833.0,0.084,0.8374,-0.8542,0.1446,-1.3063
10060.0,0.4041,-0.2363,1.4449,0.173,-0.1071
215.0,1.2222,0.2543,2.0745,1.0954,0.6209
225.0,1.0301,0.4808,1.9774,1.2041,1.4296
5825.0,1.3756,-0.9097,-0.609,-1.3152,-1.5551
5826.0,-0.1607,-0.0137,1.0037,0.7089,0.3735
6059.0,1.1461,-1.662,-0.3141,-1.6513,0.3685
23.0,-1.0767,-0.0621,-0.822,0.5852,-1.3776
10061.0,-2.4717,-0.33,-0.1182,-0.8089,0.129
55324.0,-0.6656,0.3088,1.0595,1.5204,0.6292
9619.0,-1.4064,1.2659,1.839,-0.4704,-0.0667
9429.0,1.9994,-0.421,-1.1732,2.0851,-0.5163
64137.0,0.3542,1.5428,1.0111,-0.1514,-0.0452
64240.0,1.4616,-0.8211,0.5429,2.6343,1.0409
64241.0,0.4429,-0.0818,0.3606,2.4712,1.1801
55347.0,0.3437,-0.0266,-0.4635,-0.822,-0.2726
83451.0,-0.608,0.1176,-0.4476,1.5413,-0.0712
26090.0,-0.9688,-0.6509,-0.3287,0.6205,0.1018
145447.0,-1.3624,-0.8623,-0.1523,-1.1587,-1.3624
84945.0,0.7708,-1.8049,-0.8234,-1.2029,-0.3185
25864.0,-0.4567,1.6557,0.4013,0.6588,0.95
84836.0,-0.76,0.221,-0.1166,-0.4859,0.4411
116236.0,0.2885,0.0888,0.6161,0.3813,0.9451
84696.0,0.0432,0.6515,-1.1835,0.4524,0.5109
11057.0,1.2169,-0.7416,1.2557,0.0002,-0.1047
171586.0,1.4801,0.3369,0.136,0.9365,-0.7385
63874.0,-0.1375,1.8105,0.7122,2.587,-0.2834
51099.0,0.406,-0.445,0.1567,-1.4737,-0.6993
57406.0,-0.367,-0.9358,-0.7283,0.1592,0.6807
79575.0,-0.0408,1.0338,0.3406,-0.7727,-0.7415
10006.0,0.9036,-0.5529,-0.6003,-0.4667,-0.3838
10152.0,0.4478,-0.4032,-0.0355,-0.6885,0.57
51225.0,-0.5689,1.8634,1.9625,1.0804,1.4157
25890.0,0.1261,-0.219,0.5624,1.3743,0.9738
25.0,-0.4918,0.0889,-0.7157,1.5155,1.1933
27.0,0.5862,0.1167,-0.2361,0.4358,-0.0926
3983.0,1.0637,-0.6301,1.4724,-0.3785,0.2273
84448.0,-1.8133,0.0523,-1.1554,-0.0623,-0.5814
22885.0,-0.8488,2.9992,1.9473,0.3722,-0.2391
28.0,-0.0363,-0.8659,-2.3218,-0.1888,0.2781
26.0,-0.7779,-2.5568,-3.7683,0.5577,-1.0636
29.0,1.957,-0.0633,0.4105,0.6447,0.1555
29777.0,-1.9582,0.0335,-0.5546,0.4362,0.2678
80325.0,-1.1189,2.8947,0.7012,2.3535,1.5855
25841.0,0.7635,0.1396,-0.1099,0.85,0.737
30.0,-1.9303,0.5169,0.0634,-0.7436,-1.368
10449.0,1.9162,-0.4676,-0.2111,0.0882,0.2845
31.0,-0.3093,-0.5807,-1.166,-0.9613,-1.1348
32.0,0.1864,0.3338,-0.8177,1.3649,-0.1163
80724.0,-0.0874,-0.1746,-0.9343,1.7431,2.566
84129.0,0.9971,0.429,-0.1166,0.3565,-0.9395
27034.0,-0.585,0.5658,0.6166,1.1184,0.5091
28976.0,-1.4726,0.8235,0.2239,-0.8734,1.1379
34.0,1.3629,-1.3211,-0.5517,-0.9564,-0.198
35.0,-0.7015,1.0424,-0.0763,1.1366,1.4519
36.0,1.1768,-3.1506,-1.8534,-0.324,0.584
37.0,0.452,1.3551,-0.0351,0.3337,0.4683
176.0,1.5291,-1.5155,0.2646,0.4136,-1.944
9744.0,-0.3688,1.2295,1.6356,1.5286,1.0397
23527.0,2.7385,-1.8588,0.0259,-0.5153,0.4908
116983.0,1.2682,1.4457,0.0324,1.0365,0.2176
38.0,-0.8764,-0.5383,-0.37,-0.07,0.1616
39.0,-0.5201,-0.7243,-1.9492,-3.0286,-1.2381
64746.0,1.83,-1.599,0.7912,-0.4287,-0.5555
79777.0,0.065,0.0584,-0.4322,0.7001,0.1894
91452.0,1.3615,-1.8924,1.5959,0.0423,0.065
84320.0,0.4093,0.3239,-0.4063,-1.1895,-1.1522
414149.0,1.0135,0.5747,0.4977,0.3163,1.0669
40.0,0.1113,-1.6516,-0.9157,-1.6516,-1.3852
41.0,-0.611,0.5025,-0.552,-0.3269,0.7796
9311.0,1.0082,2.5823,0.7827,3.3551,1.0919
55515.0,0.8572,1.7829,-1.5318,3.2729,-0.4667
84680.0,0.6952,0.4621,0.5039,0.7152,-0.8919
65057.0,-0.0908,2.6115,0.9169,1.6047,1.5826
1636.0,-0.227,0.3188,0.8321,0.7535,2.2113
59272.0,-0.2046,-1.8004,-0.7141,-0.769,-0.911
340485.0,1.8677,0.6852,-0.559,0.1724,-0.6292
55331.0,1.0325,-0.6895,-0.6344,-0.5066,0.1724
43.0,-0.0345,-0.0683,0.1104,2.9893,-0.6584
22985.0,0.1139,0.3779,0.7836,0.6864,0.568
47.0,-0.7737,1.0178,-1.234,-1.6291,-2.0127
57001.0,0.1718,-0.5039,-0.9658,-1.0571,-0.7722
48.0,-1.0568,-0.5327,0.7046,1.4058,0.8543
50.0,-1.4659,1.2413,0.2827,1.0888,0.3133
26027.0,-0.6554,-0.5033,-2.0313,-2.386,-1.337
55856.0,-0.473,-1.5857,-0.2177,-1.0912,-2.2783
641371.0,-1.2969,-1.239,-0.2331,-0.2012,-1.6854
10965.0,-1.2593,-0.7664,-0.1866,-0.2601,-2.3559
122970.0,0.3673,0.9809,-0.38,1.0098,0.6922
641372.0,-0.2299,-2.036,0.1947,2.1682,-2.036
11332.0,-1.6359,1.3484,0.5194,-0.2839,0.0885
10005.0,-1.2529,0.1026,-1.0464,-0.6786,-1.7769
23597.0,-0.4784,0.4983,2.4743,0.423,0.815
51.0,-0.083,-1.7628,-1.0746,-1.998,-1.9277
8309.0,-0.738,-1.1601,-1.8552,-3.1128,-2.7652
8310.0,-2.2798,-0.1784,0.6863,-0.6388,-0.0722
55289.0,-0.0329,2.1867,1.7146,2.4904,-1.6952
52.0,-0.7193,-1.7846,-0.8235,-1.1838,-0.7755
53.0,-2.3709,2.277,1.9716,2.7778,2.3403
54.0,-1.3085,2.2542,1.2709,0.9752,1.7382
51205.0,-0.0314,0.8701,0.6304,0.2274,-0.5302
92370.0,-0.4034,-2.5071,-0.5794,0.4438,1.4656
55.0,0.859,0.451,0.9823,-0.9095,-1.3674
49.0,-2.2384,-2.2384,-1.5621,0.6598,1.0735
84519.0,0.1483,2.1297,-0.0742,0.9122,1.2017
93953.0,0.3649,-1.2894,-0.9185,-0.6272,-0.8998
56.0,1.0803,-1.101,-1.2155,0.4559,-0.3807
23205.0,0.7019,0.4721,-0.0171,-0.5074,0.2528
81616.0,-1.804,-1.804,-0.4394,-0.0684,-1.093
80221.0,-1.4525,-0.0854,-0.2551,0.7927,-1.2231
197322.0,-1.0556,-0.2541,-0.8442,-0.0932,0.7828
2180.0,-0.3786,0.3927,-0.7836,-0.4059,0.3597
2181.0,0.6159,-1.3376,0.94,-0.76,0.4114
2182.0,2.0117,-0.9566,-0.5261,-0.2864,0.4878
51703.0,-0.6127,-2.2104,-0.213,-2.3048,-2.1715
23305.0,-1.0487,-1.4387,-2.5446,-1.6109,-2.4084
116285.0,-0.2493,-0.3863,0.6245,-0.5896,-1.7093
6296.0,1.4185,-2.0214,-0.1656,-1.3725,-2.1423
54988.0,-1.5274,-1.5274,0.7909,0.3725,0.1329
84532.0,-1.062,-0.6945,-1.1904,0.5053,1.0286
55902.0,-0.6593,-1.7534,-3.0535,-0.0241,-1.3448
79611.0,-0.5497,0.5011,0.3784,-0.5946,-0.4395
58.0,0.0999,-0.1895,-0.5232,1.8108,-1.7813
59.0,-1.3332,0.9374,1.0106,-0.3708,-0.1056
60.0,-1.7874,2.5859,1.1678,-0.0308,-0.3035
70.0,-0.5357,0.3455,0.6973,-0.2962,1.0551
71.0,-2.3143,2.544,0.2977,2.5287,0.1559
72.0,-0.8824,-0.1548,1.3041,-0.6771,-0.5572
86.0,0.7382,-1.722,-0.4946,-2.3692,-0.9938
81569.0,0.1964,-0.9596,-1.0297,1.8004,0.4568
87.0,-0.8564,1.5627,1.2243,-1.4298,-0.1864
88.0,-0.6413,-1.3506,-0.2385,-0.2493,0.3635
89.0,1.8325,1.1389,1.4053,1.7212,1.3084
81.0,-1.9664,1.3967,-0.2233,-0.2254,-1.2323
55860.0,0.5867,-1.6459,0.0133,-0.0716,0.4375
10121.0,-2.3859,1.242,1.4146,0.2698,-0.7779
10120.0,-1.9951,1.6702,-0.0488,-0.9283,-0.8265
10097.0,1.4946,-2.924,-0.1388,-1.2822,-0.1962
10096.0,-0.2688,-0.5743,0.6893,-3.2324,-1.9107
57180.0,-0.6925,-1.2164,-1.1469,-1.5062,0.8969
653857.0,-0.8003,-1.0196,-1.0216,-0.716,1.5002
79913.0,-0.587,-0.9553,-0.4508,0.1431,-0.3198
64431.0,0.9867,-1.5384,-0.2829,0.3344,0.9136
93973.0,0.1781,-1.2845,0.0824,-0.3994,-0.1675
90.0,-0.3284,1.6272,1.0735,0.0237,-0.2388
91.0,-1.1012,-1.3851,-2.5009,0.3777,0.738
130399.0,0.0681,-0.7639,-0.226,-0.7025,-0.4841
92.0,0.0163,-2.0505,-0.5194,0.7384,-0.8531
93.0,0.8018,-2.3982,-1.1077,-0.1845,-0.9902
94.0,0.0559,-0.1128,-0.6461,1.3355,-1.0015
95.0,-0.7765,0.4562,-0.0709,-1.415,-1.1756
91703.0,0.3193,-0.1479,-0.1538,0.92,-0.4894
97.0,1.1745,0.7809,-0.2182,-0.4447,-1.7234
98.0,0.7108,0.9015,-0.4086,0.1999,-1.155
100.0,0.0504,1.4777,1.2659,0.4269,1.3944
161931.0,-1.1758,-1.1758,-0.1581,-0.4718,-1.1758
161823.0,0.4052,-1.3868,0.2077,-1.0447,0.086
102.0,1.3119,-0.1686,0.6653,-0.138,1.9435
4185.0,0.8232,1.9493,1.384,4.1232,1.0652
8038.0,-0.1546,1.3923,1.422,0.3372,0.376
8751.0,0.9994,1.5003,-0.262,0.5742,1.2669
6868.0,0.2862,0.3893,0.1388,-1.1159,0.6837
8728.0,-0.8482,1.6409,0.6152,-0.4334,-0.2249
8748.0,-2.2915,-2.2915,0.0478,0.3145,-1.3507
8747.0,-1.7095,-1.7095,-1.0573,0.7057,-1.7095
53616.0,1.1731,0.5127,-0.164,0.2809,1.0593
8745.0,-0.5682,0.1413,0.4113,-0.6468,-0.3915
10863.0,-0.2352,-0.0885,3.2168,0.6407,0.5249
203102.0,0.7197,-0.4022,-1.5374,-0.7805,-1.8558
80332.0,-0.9567,1.0358,0.7148,-0.1509,-0.4552
8755.0,-0.1718,1.0167,1.1275,0.733,-0.1308
101.0,-0.3319,2.7888,1.0652,1.341,1.7088
8754.0,1.3457,-0.087,1.7111,-0.3214,0.3758
27299.0,-0.006,-0.4164,0.3936,-0.2298,0.6097
81794.0,-0.8174,1.8973,1.0664,0.2813,-0.212
81792.0,-0.6124,1.2849,0.67,-0.2376,0.3631
11093.0,1.6784,1.7951,-0.0809,1.7674,0.1641
140766.0,0.9465,1.5196,0.1673,-0.145,-0.607
170689.0,1.394,1.632,-0.0441,-0.8619,-0.0474
170690.0,-1.152,0.7366,0.9868,-0.042,-1.0685
170691.0,0.498,1.0634,0.2006,1.2838,0.735
170692.0,0.0364,-0.265,1.1312,-1.0031,0.1559
171019.0,-1.266,-0.7636,-1.266,-1.266,-1.266
9510.0,0.0849,0.3861,1.2084,-0.5472,-0.0947
9509.0,-0.6087,2.1419,1.4469,0.5098,0.8185
9508.0,-0.1919,-0.1364,0.437,-0.2597,-1.5785
9507.0,0.0494,1.9907,1.2809,0.7145,0.3941
11096.0,0.3203,-0.6266,1.6336,-0.7044,-0.6305
11174.0,-0.251,0.9901,0.5716,-0.4447,-0.0965
11173.0,-0.9257,1.7767,1.0931,-0.2461,-0.6295
11095.0,-0.3077,-1.0657,-0.0697,-0.2478,-1.7518
56999.0,1.4008,-0.5126,0.3421,-1.4692,-1.5487
92949.0,-0.755,1.2998,0.3728,-1.1005,-0.7892
9719.0,-0.5578,0.0892,-0.0771,0.302,-1.0158
57188.0,-0.583,0.0132,0.6497,-0.6955,-0.0091
54507.0,-0.1358,1.7592,0.6717,0.8521,1.6823
339366.0,0.6328,2.5175,0.2512,2.281,0.8962
11033.0,0.5598,-1.4218,0.8223,0.6133,0.1473
55803.0,0.024,0.9977,1.6846,2.0354,1.1572
103.0,1.1436,0.6751,1.8648,1.5542,2.5242
104.0,1.0493,1.817,1.32,1.1306,1.3529
105.0,-1.8216,0.3505,-1.8216,1.3813,-1.8216
23536.0,1.8296,-0.2443,-0.3309,-1.5307,-1.4187
134637.0,1.9139,-1.5559,-1.2974,-0.9155,0.0539
113179.0,-0.743,1.4034,0.0782,0.3468,0.0481
113451.0,-0.1292,1.8463,0.3222,0.9301,0.8092
57143.0,-0.4432,-1.0127,-0.7514,0.1121,0.1515
90956.0,-0.8232,-0.1883,0.2085,-0.9093,0.3376
79934.0,-0.4769,1.0054,0.9774,-0.7317,-0.5886
203054.0,1.1082,0.3658,-0.3802,0.299,-0.7094
55811.0,-0.4692,-1.7141,0.3289,1.6214,-1.7141
107.0,2.0044,-0.033,-0.353,-1.3697,-1.9683
108.0,-2.6559,1.0647,0.7772,-0.3742,-0.8907
109.0,-0.9017,0.7543,-0.7643,0.3255,1.3553
196883.0,-0.8455,1.4286,1.652,1.7643,-0.6056
111.0,-0.3033,0.2554,0.8427,-1.1569,-0.3485
112.0,0.3234,1.5844,-1.7426,1.1939,0.4297
113.0,-0.0862,1.4861,0.7564,1.1101,1.527
115.0,-0.2644,0.3021,0.5326,0.2672,1.9485
116.0,-0.073,-1.162,1.5664,-0.3163,-0.1062
117.0,-1.3581,-1.3581,-0.5741,-1.3581,-1.3581
118.0,-3.0388,0.6284,1.2503,1.6933,0.3236
119.0,-0.5774,0.2499,1.103,0.061,-0.2848
120.0,1.5785,-2.5654,-1.259,-0.4989,-1.4507
124.0,-1.3741,0.8054,-1.5562,0.1056,-1.5562
125.0,-0.4556,0.8636,-0.1557,-1.3174,-0.6058
126.0,-0.3219,-1.4955,-2.168,-0.1489,-0.7259
127.0,0.244,-1.1878,-1.1148,-0.5961,-1.8405
128.0,-1.8654,-0.03,-0.2966,-0.8443,-0.8287
130.0,0.2834,-1.7017,-0.9325,-1.5953,-1.4427
137872.0,0.1222,0.524,0.3324,-0.1007,-0.7164
55256.0,-1.3349,-0.0914,0.4343,-2.205,-1.5381
51094.0,1.4276,0.0652,-0.5568,0.7397,-1.3488
79602.0,-1.1189,0.4555,-1.768,0.4949,-0.3787
132.0,0.0449,-0.5355,-0.9778,-2.1654,-1.016
133.0,0.3286,1.0905,0.4783,0.5792,1.078
79924.0,0.0435,2.6365,0.4264,1.4855,-0.5253
22850.0,0.2974,1.2745,0.1419,1.3228,3.4862
23394.0,0.1932,-2.1367,-0.8241,-1.6467,-0.2309
84890.0,0.1035,-0.2277,-0.1672,0.6904,1.5108
134.0,0.1492,1.0234,0.4775,-0.5609,0.298
135.0,-0.5489,1.932,1.6001,1.9893,0.5261
136.0,0.0326,1.0116,0.4139,-0.26,0.0254
140.0,-0.5822,1.5013,1.3977,0.6053,1.5252
83440.0,0.9558,0.0761,0.7733,0.7771,0.7587
141.0,-1.1514,0.3023,1.5145,0.2191,0.2753
113622.0,-0.237,-2.048,-1.4683,1.0924,-1.0751
54936.0,-0.9985,1.0764,1.5089,1.9523,3.1507
148.0,-0.5006,-0.4427,-0.7257,-0.9033,-1.5464
147.0,0.1238,0.6658,-0.0939,0.2819,-1.1118
146.0,-1.1022,0.3728,-0.6001,-0.4994,-0.684
150.0,1.0675,0.0955,-0.7368,-0.2627,-1.0917
151.0,-0.1427,0.9159,0.7695,1.601,1.1819
152.0,-0.3324,0.9575,-1.1154,0.6041,0.8791
153.0,1.6231,1.1859,3.1562,1.1458,0.2905
154.0,-0.4827,0.751,0.4453,1.0921,0.1584
156.0,-0.8922,1.0131,-0.549,-0.8643,-0.5132
157.0,1.1377,-1.4542,0.9245,0.3989,-0.5899
11047.0,-1.5053,1.1686,-0.3951,-0.323,-0.5735
158.0,-1.2865,1.3458,-0.019,-1.2255,-0.4941
159.0,1.8298,-1.6777,0.477,-1.4805,0.3746
122622.0,0.4206,0.7849,-0.8984,1.4981,0.4391
165.0,-1.2268,1.6765,1.0675,0.292,0.2336
121536.0,1.3189,0.3699,-0.4193,0.0613,1.5964
64782.0,0.2157,2.1934,0.1075,0.867,0.7624
166.0,-1.6436,1.826,-0.0723,1.7387,-0.0791
60312.0,-1.6241,1.7245,-0.2333,-0.3468,-0.4375
134265.0,-0.2591,0.0528,1.3517,-1.082,-1.035
84632.0,1.3778,-0.168,0.0009,1.8215,0.7834
246182.0,0.8643,0.2121,-0.0903,-2.105,-0.3342
4299.0,1.4312,-1.3382,0.5219,0.5845,0.5854
2334.0,0.7161,0.3028,2.0211,-0.3225,-1.5059
3899.0,-0.1917,2.3499,0.8749,-0.5138,-0.5869
27125.0,1.7403,-0.8384,0.0271,-0.1352,0.2578
172.0,0.3545,1.5298,0.4161,-0.0422,-0.547
10939.0,0.839,-0.866,-0.1552,2.2033,1.7597
125061.0,-0.6132,-0.3412,-0.501,-1.8119,-0.8816
174.0,-1.2909,-0.3112,-1.2909,-0.6067,-1.2909
54812.0,0.721,-3.272,-0.6187,-0.2432,-0.3781
387763.0,-1.0491,2.236,-0.0763,0.7633,-0.1937
175.0,-1.0641,-1.0664,-0.7462,0.5974,-1.6274
119385.0,0.9166,1.2905,-1.6223,1.9764,-0.2021
116987.0,-2.3451,0.1376,-0.2163,-0.5299,-0.5553
116986.0,-1.0274,2.3532,0.8322,0.6618,0.5516
116988.0,-1.1187,1.3369,0.1114,0.4404,1.0733
119016.0,1.3096,0.5759,0.4285,1.1183,-0.7303
729092.0,1.2975,0.1871,0.046,1.1682,-0.8109
414189.0,1.2494,0.6429,0.1086,0.8188,-0.4572
653268.0,1.0784,0.7631,-0.1046,1.1042,-0.0284
728404.0,1.0443,0.4377,-0.1279,0.8313,-0.5264
79841.0,0.4625,1.2483,-0.0666,1.339,0.5159
340351.0,-1.4505,-2.5296,-0.4113,-0.0043,-1.2872
84871.0,-0.281,-1.5514,-1.5514,-1.3716,-1.5514
60509.0,-1.5081,0.813,-1.871,-0.086,0.854
177.0,0.1186,0.743,0.7637,0.6029,-0.4073
3267.0,-1.0978,-1.195,-1.3541,-0.8276,-1.2959
3268.0,-0.2896,-1.6142,0.7775,-1.4889,-2.6282
55109.0,0.9648,-1.3972,0.5931,-0.8531,-0.4127
55750.0,-0.0815,-1.909,-0.7998,-2.8264,-5.2984
178.0,1.4809,-0.8379,-0.4429,-0.5183,0.7334
79814.0,0.6258,-1.6048,-2.1696,-1.1484,0.6202
10554.0,-1.4693,1.8491,-0.3095,0.9076,-0.5058
10555.0,-1.45,0.8345,-0.1247,1.8624,-0.35
56894.0,-0.8116,1.27,0.6476,-0.7507,0.8548
56895.0,0.9133,1.3657,0.3759,-0.3476,-1.0362
55326.0,1.5447,-0.9409,-0.4558,-1.0656,-0.2254
137964.0,0.3885,0.6526,0.055,0.3958,0.0472
84803.0,-0.1083,1.332,-0.6377,-0.8428,0.339
123688.0,1.9275,-1.1452,-1.1892,-0.9887,-0.3716
8540.0,1.0095,-1.92,-0.2079,-1.2348,0.3154
10551.0,1.5208,-0.1805,0.8072,0.6049,0.108
155465.0,1.1388,-1.1629,0.8937,-0.3021,0.0433
375790.0,-0.4552,0.3384,2.1413,1.725,2.4298
181.0,0.7071,1.5262,-1.3683,-1.3683,0.9459
183.0,-0.5278,-1.0368,-1.0348,-0.0569,-0.8914
23287.0,0.835,-1.5313,-1.0977,1.1753,0.972
185.0,-1.6854,0.2196,1.2821,-1.1402,-1.6854
57085.0,-0.0636,2.2797,1.7508,1.5615,0.6187
189.0,-0.7577,-0.0092,-2.2881,-2.1419,-2.2881
85007.0,0.6816,1.3606,0.0728,1.5663,-0.1065
25909.0,1.5513,-2.5452,-0.1129,-0.5773,0.5384
191.0,-0.8362,0.1128,-1.3525,-2.0637,-0.4804
10768.0,0.5739,-0.6822,0.0017,-1.2588,0.7013
23382.0,0.2998,-1.2173,1.0685,0.5262,-0.4626
27245.0,0.5136,1.8275,0.3912,0.2499,-0.0903
54806.0,1.8618,-1.8759,-0.5783,-0.0312,-0.6603
113146.0,-0.3014,2.0266,2.2511,0.6959,1.2517
79026.0,-0.0459,-0.2116,1.3418,0.2612,0.7729
196.0,2.2737,-0.4135,0.5332,-1.6861,0.0741
57491.0,1.1669,0.792,-0.1531,3.0214,-0.1535
10598.0,-2.3064,0.2146,0.3249,0.2295,0.5376
130872.0,2.0232,0.0262,-0.4126,0.2759,-0.6193
197.0,-1.3113,0.3575,-0.5082,-1.3113,-1.3113
64853.0,1.2488,-0.5745,1.4493,0.6879,1.7592
199.0,-0.5472,0.0394,1.7524,0.5411,1.0648
83543.0,1.4793,1.6064,1.0353,2.3064,1.6025
9131.0,-0.2392,-2.2044,-1.0283,0.4921,-0.1284
84883.0,-0.8705,1.5854,-1.2018,0.8999,0.1232
150209.0,-0.0206,-1.8924,-3.5511,-0.8083,-2.0676
51390.0,-0.7689,0.2103,-0.7059,-0.3971,-1.8944
202.0,0.8191,-2.1953,-0.3966,0.6987,1.0459
55057.0,-0.0849,-0.078,0.6879,-1.2597,-2.2628
9447.0,-0.0538,1.0245,1.6211,2.2705,2.7534
9255.0,1.3175,-2.3357,-0.5269,-1.2957,-1.5201
7965.0,0.2241,0.2252,-0.5821,-0.8509,-1.435
9049.0,-2.1658,1.8468,0.9267,-0.0122,-0.9239
326.0,-1.2454,-1.2454,-0.3414,-0.8802,-0.9858
55966.0,1.6854,-0.2687,0.5147,-0.3834,-1.8176
203.0,-1.2966,0.0654,0.4036,0.5455,-1.0141
204.0,-0.4138,-0.4682,0.156,-0.9775,-0.1759
50808.0,1.0158,-3.3944,-1.1827,0.4888,-0.717
205.0,-0.0124,-1.0133,-0.2468,-0.4991,-1.4333
26289.0,0.1111,0.9783,0.5045,-1.0218,-1.8742
122481.0,0.1426,0.7655,-0.1505,0.754,0.2261
11216.0,1.1421,0.5897,0.5553,-0.8273,0.3412
11215.0,1.5431,-2.1193,-0.628,-0.8534,-0.5102
9590.0,-0.4601,-0.2635,0.7019,0.2333,-0.085
11214.0,0.3637,0.3808,0.6845,0.3232,-0.154
158798.0,-1.2702,-1.2702,1.4402,-1.2702,-0.0927
8165.0,-0.8671,-1.6574,-1.7618,-0.9354,-0.5818
445815.0,0.2273,-0.7256,0.5095,-0.2329,0.5008
10566.0,-1.8966,2.3874,0.0283,1.5343,0.1087
9495.0,1.6466,0.3377,0.5066,0.5961,-0.2593
9472.0,0.7174,-1.0208,0.8591,-1.3932,-0.605
9465.0,1.3992,-2.0414,-0.4441,-1.2698,-0.549
